Name,DOB,SSN,Zip,Workclass,Education,Education-Num,Marital Status,Occupation,Relationship,Race,Sex,Hours per week,Country,Target,Age,Capital Gain,Capital Loss
Corinne Garlick,2/10/1988,169-78-1971,2796,Private,7th-8th,4,Married-civ-spouse,Transport-moving,Husband,White,Male,40,United-States,<=50K,35,0,0
Consuela Garey,1/2/1956,796-05-9521,31763,Federal-gov,Some-college,10,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,United-States,>50K,67,0,0
Tremaine Boriston,7/27/1992,658-93-6148,2269,,HS-grad,9,Married-civ-spouse,,Wife,White,Female,40,United-States,<=50K,31,2885,0
Dulcine Darben,10/14/1991,575-34-8497,21278,Private,Assoc-acdm,12,Married-civ-spouse,Sales,Husband,White,Male,45,United-States,>50K,32,0,1977
Rolph Heijne,8/28/1994,447-55-8928,46919,Private,Assoc-voc,11,Never-married,Exec-managerial,Unmarried,Asian-Pac-Islander,Male,40,South,<=50K,29,0,0
Gretel Stenton,3/26/2008,597-15-7051,31473,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,<=50K,15,0,0
Kessiah Feveryear,12/11/1965,776-62-5180,36005,Private,Some-college,10,Divorced,Sales,Not-in-family,White,Male,50,United-States,<=50K,58,0,0
Fleurette Klehyn,1/12/1979,435-97-3925,53090,Self-emp-inc,HS-grad,9,Divorced,Other-service,Not-in-family,White,Female,60,United-States,<=50K,44,0,0
Bathsheba Cape,5/26/1969,460-31-1650,43050,,HS-grad,9,Married-civ-spouse,,Husband,White,Male,40,United-States,<=50K,54,0,0
Marcelo McNair,2/6/1958,186-69-2822,36600,Private,Some-college,10,Divorced,Transport-moving,Not-in-family,White,Male,45,United-States,<=50K,65,0,0
Boonie Riveles,2/6/1965,612-55-2680,48203,Private,Some-college,10,Never-married,Other-service,Not-in-family,White,Female,53,United-States,<=50K,58,0,0
Arin Holyard,4/29/1974,305-31-0236,8286,Private,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,40,United-States,<=50K,49,0,0
Terri Eberts,3/28/1983,749-74-7169,45865,Private,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,50,United-States,>50K,40,0,0
Farley Nobes,6/11/1978,269-14-5005,88056,Private,HS-grad,9,Divorced,Adm-clerical,Unmarried,White,Male,40,Honduras,<=50K,45,0,0
Melantha Leidl,6/13/1967,702-59-6286,43271,Self-emp-not-inc,Bachelors,13,Married-civ-spouse,Craft-repair,Husband,White,Male,50,United-States,<=50K,56,0,0
Clare Spoole,9/27/1997,147-72-6355,55364,Local-gov,5th-6th,3,Married-civ-spouse,Prof-specialty,Husband,White,Male,6,United-States,<=50K,26,0,0
Dre Rizzardo,11/8/1957,311-09-1880,80753,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,38,United-States,<=50K,66,0,0
Anjela Campo,12/27/1961,128-95-0042,17878,Private,HS-grad,9,Never-married,Machine-op-inspct,Own-child,White,Female,42,United-States,<=50K,62,0,0
Dorie MacCostigan,8/1/1967,547-45-4992,16235,Self-emp-not-inc,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,United-States,>50K,56,7688,0
Mindy Halbard,10/17/2007,835-28-1694,55555,Self-emp-inc,HS-grad,9,Divorced,Protective-serv,Not-in-family,White,Male,81,United-States,<=50K,16,0,0
Oran Elsey,1/20/1966,177-60-6147,62463,,10th,6,Never-married,,Own-child,White,Female,15,United-States,<=50K,57,0,0
Charita Pealing,12/4/1955,272-94-6764,64242,Private,HS-grad,9,Divorced,Craft-repair,Not-in-family,White,Female,40,United-States,<=50K,68,0,0
Torry Insull,12/9/1964,707-76-2028,45901,Private,Assoc-voc,11,Never-married,Tech-support,Own-child,White,Female,30,United-States,<=50K,59,0,0
Moise Balsom,11/2/1972,861-57-9853,1444,State-gov,Some-college,10,Never-married,Prof-specialty,Not-in-family,White,Female,8,United-States,<=50K,51,0,0
Jesse Gossage,10/31/1998,391-61-7004,62151,Private,Some-college,10,Never-married,Exec-managerial,Own-child,White,Male,45,United-States,<=50K,25,0,0
Burch McCrie,8/2/1958,194-24-2135,46449,Private,HS-grad,9,Never-married,Other-service,Own-child,White,Female,20,United-States,<=50K,65,0,0
Roxi Nutton,9/8/1974,781-31-2425,92477,Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,United-States,<=50K,49,0,0
Lorenza Colmore,11/6/1998,229-95-2670,74992,State-gov,HS-grad,9,Married-civ-spouse,Other-service,Husband,White,Male,40,United-States,<=50K,25,0,0
Jacob Cave,6/3/1998,442-73-5724,13936,Private,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,26,United-States,<=50K,25,0,0
Moyra Coursor,1/13/1985,337-29-9859,34472,State-gov,HS-grad,9,Married-civ-spouse,Other-service,Husband,White,Male,20,United-States,<=50K,38,0,0
Charlotta Callen,2/10/1955,575-17-6411,58251,Private,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,United-States,>50K,68,5178,0
Brear Cawthorn,10/7/1964,267-17-6690,27921,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,45,United-States,<=50K,59,0,0
