Name,DOB,SSN,Zip,Workclass,Education,Education-Num,Marital Status,Occupation,Relationship,Race,Sex,Hours per week,Country,Target,Age,Capital Gain,Capital Loss
Garrard Finlator,7/18/1966,387-67-2387,36407,Private,9th,5,Separated,Adm-clerical,Not-in-family,White,Male,48,United-States,<=50K,57,0,0
Elsbeth Smitton,2/8/1972,559-61-2771,63459,Private,Some-college,10,Never-married,Machine-op-inspct,Unmarried,Asian-Pac-Islander,Male,40,Vietnam,<=50K,51,0,0
Kiersten Flawith,2/11/1958,292-50-9826,29338,Private,HS-grad,9,Never-married,Farming-fishing,Own-child,White,Male,45,United-States,<=50K,65,0,0
Ibbie Hearnah,3/8/1996,326-39-4948,14654,Private,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,55,United-States,>50K,27,0,0
Charlie Zuenelli,11/13/2005,772-64-4926,89976,Private,Some-college,10,Married-civ-spouse,Machine-op-inspct,Wife,White,Female,37,United-States,>50K,18,0,0
Moishe Corrie,6/18/1952,486-66-0443,81919,,Bachelors,13,Married-civ-spouse,,Husband,White,Male,15,United-States,<=50K,71,0,0
Ruddy McGraffin,1/21/1991,431-42-9636,1284,Federal-gov,Bachelors,13,Married-civ-spouse,Adm-clerical,Husband,Asian-Pac-Islander,Male,40,Philippines,>50K,32,7298,0
Doretta Hudson,6/8/1952,847-31-6423,20182,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,50,United-States,>50K,71,0,0
Charla Megahey,8/19/1962,600-97-0300,90220,Private,HS-grad,9,Divorced,Craft-repair,Not-in-family,White,Male,50,United-States,<=50K,61,0,0
Emlynn Eykelbosch,10/25/2007,711-84-2221,13638,Private,11th,7,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,70,United-States,>50K,16,0,0
Caresse Garmanson,12/19/1972,456-30-7452,2514,Private,10th,6,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,United-States,<=50K,51,0,0
Cariotta Karppi,10/8/1982,773-02-2879,62142,Private,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,United-States,<=50K,41,0,0
Merry Oneile,7/3/2006,324-28-2901,33837,Private,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,United-States,<=50K,17,0,0
Baxter Larchiere,12/16/1957,782-55-9995,61933,Private,HS-grad,9,Never-married,Other-service,Own-child,White,Male,24,United-States,<=50K,66,0,0
